Codes,Class_Names,Scientific_name,EPPO_code,EPPO_code_period,Comments,IsCrop,IsCropOther,IsWoodland,IsFeedingArea,IsPerennial,IsTempCrop,IsPermCrop,Erdas_Red,Erdas_Green
76,Walnuts,Juglans sp.,IUGSS,IUGSS,,1,1,0,1,1,0,1,0.9176,0.8392
77,Pears,Pyrus communis,PYUCO,PYUCO,,1,1,0,1,1,0,1,0.698,0.6078
78, ,,,,,0,0,0,0,0,0,0,0,0
79, ,,,,,0,0,0,0,0,0,0,0,0
80, ,,,,,0,0,0,0,0,0,0,0,0
81,Clouds/No Data,,,,,0,0,0,0,0,0,0,0.9529,0.9529
82,Developed,,,,,0,0,0,0,0,0,0,0.6078,0.6078
83,Water,,,,,0,0,0,0,0,0,0,0.298,0.4392
84, ,,,,,0,0,0,0,0,0,0,0,0.6078
85, ,,,,,0,0,0,0,0,0,0,0,0
86, ,,,,,0,0,0,0,0,0,0,0,0
87,Wetlands,,,,,0,0,0,0,0,0,0,0.498,0.698
88,Nonag/Undefined,,,,,0,0,0,0,0,0,0,0.9098,1
89, ,,,,,0,0,0,0,0,0,0,0,0
90, ,,,,,0,0,0,0,0,0,0,0,0
91, ,,,,,0,0,0,0,0,0,0,0,0
92,Aquaculture,,,,,0,0,0,0,0,0,0,0,1
93, ,,,,,0,0,0,0,0,0,0,0,0
94, ,,,,,0,0,0,0,0,0,0,0,0
95, ,,,,,0,0,0,0,0,0,0,0,0
96, ,,,,,0,0,0,0,0,0,0,0,0
97, ,,,,,0,0,0,0,0,0,0,0,0
98, ,,,,,0,0,0,0,0,0,0,0,0
99, ,,,,,0,0,0,0,0,0,0,0,0
100, ,,,,,0,0,0,0,0,0,0,0,0
101, ,,,,,0,0,0,0,0,0,0,0,0
102, ,,,,,0,0,0,0,0,0,0,0,0
103, ,,,,,0,0,0,0,0,0,0,0,0
104, ,,,,,0,0,0,0,0,0,0,0,0
105, ,,,,,0,0,0,0,0,0,0,0,0
106, ,,,,,0,0,0,0,0,0,0,0,0
107, ,,,,,0,0,0,0,0,0,0,0,0
108, ,,,,,0,0,0,0,0,0,0,0,0
109, ,,,,,0,0,0,0,0,0,0,0,0
110, ,,,,,0,0,0,0,0,0,0,0,0
111,Open Water,,,,,0,0,0,0,0,0,0,0.298,0.4392
112,Perennial Ice/Snow ,,,,,0,0,0,0,0,0,0,0.8275,0.8863
113, ,,,,,0,0,0,0,0,0,0,0,0
114, ,,,,,0,0,0,0,0,0,0,0,0
115, ,,,,,0,0,0,0,0,0,0,0,0
116, ,,,,,0,0,0,0,0,0,0,0,0
117, ,,,,,0,0,0,0,0,0,0,0,0
118, ,,,,,0,0,0,0,0,0,0,0,0
119, ,,,,,0,0,0,0,0,0,0,0,0
120, ,,,,,0,0,0,0,0,0,0,0,0
121,Developed/Open Space,,,,,0,0,0,0,0,0,0,0.6078,0.6078
122,Developed/Low Intensity,,,,,0,0,0,0,0,0,0,0.6078,0.6078
123,Developed/Med Intensity,,,,,0,0,0,0,0,0,0,0.6078,0.6078
124,Developed/High Intensity,,,,,0,0,0,0,0,0,0,0.6078,0.6078
125, ,,,,,0,0,0,0,0,0,0,0,0
126, ,,,,,0,0,0,0,0,0,0,0,0
127, ,,,,,0,0,0,0,0,0,0,0,0
128, ,,,,,0,0,0,0,0,0,0,0,0
129, ,,,,,0,0,0,0,0,0,0,0,0
130, ,,,,,0,0,0,0,0,0,0,0,0
131,Barren,,,,,0,0,0,0,0,0,0,0.8,0.749
132, ,,,,,0,0,0,0,0,0,0,0,0
133, ,,,,,0,0,0,0,0,0,0,0,0
134, ,,,,,0,0,0,0,0,0,0,0,0
135, ,,,,,0,0,0,0,0,0,0,0,0
136, ,,,,,0,0,0,0,0,0,0,0,0
137, ,,,,,0,0,0,0,0,0,0,0,0
138, ,,,,,0,0,0,0,0,0,0,0,0
139, ,,,,,0,0,0,0,0,0,0,0,0
140, ,,,,,0,0,0,0,0,0,0,0,0
141,Deciduous Forest,,,,,0,0,1,1,1,0,0,0.5765,0.8
142,Evergreen Forest,,,,,0,0,1,1,1,0,0,0.5765,0.8
143,Mixed Forest,,NNNWW,NNNWW,,0,0,1,1,1,0,0,0.5765,0.8
144, ,,,,,0,0,0,0,0,0,0,0,0
145, ,,,,,0,0,0,0,0,0,0,0,0
146, ,,,,,0,0,0,0,0,0,0,0,0
147, ,,,,,0,0,0,0,0,0,0,0,0
148, ,,,,,0,0,0,0,0,0,0,0,0
149, ,,,,,0,0,0,0,0,0,0,0,0
150, ,,,,,0,0,0,0,0,0,0,0,0
151, ,,,,,0,0,0,0,0,0,0,0,0
152,Shrubland,,,,,0,0,1,1,1,0,0,0.7765,0.8392
153, ,,,,,0,0,0,0,0,0,0,0,0
154, ,,,,,0,0,0,0,0,0,0,0,0
155, ,,,,,0,0,0,0,0,0,0,0,0
156, ,,,,,0,0,0,0,0,0,0,0,0
157, ,,,,,0,0,0,0,0,0,0,0,0
158, ,,,,,0,0,0,0,0,0,0,0,0
159, ,,,,,0,0,0,0,0,0,0,0,0
160, ,,,,,0,0,0,0,0,0,0,0,0
161, ,,,,,0,0,0,0,0,0,0,0,0
162, ,,,,,0,0,0,0,0,0,0,0,0
163, ,,,,,0,0,0,0,0,0,0,0,0
164, ,,,,,0,0,0,0,0,0,0,0,0
165, ,,,,,0,0,0,0,0,0,0,0,0
166, ,,,,,0,0,0,0,0,0,0,0,0
167, ,,,,,0,0,0,0,0,0,0,0,0
168, ,,,,,0,0,0,0,0,0,0,0,0
169, ,,,,,0,0,0,0,0,0,0,0,0
170, ,,,,,0,0,0,0,0,0,0,0,0
171, ,,,,,0,0,0,0,0,0,0,0,0
172, ,,,,,0,0,0,0,0,0,0,0,0
173, ,,,,,0,0,0,0,0,0,0,0,0
174, ,,,,,0,0,0,0,0,0,0,0,0
175, ,,,,,0,0,0,0,0,0,0,0,0
176,Grass/Pasture,,,,,0,0,0,1,0,0,0,0.9098,1
177, ,,,,,0,0,0,0,0,0,0,0,0
178, ,,,,,0,0,0,0,0,0,0,0,0
179, ,,,,,0,0,0,0,0,0,0,0,0
180, ,,,,,0,0,0,0,0,0,0,0,0
181, ,,,,,0,0,0,0,0,0,0,0,0
182, ,,,,,0,0,0,0,0,0,0,0,0
183, ,,,,,0,0,0,0,0,0,0,0,0
184, ,,,,,0,0,0,0,0,0,0,0,0
185, ,,,,,0,0,0,0,0,0,0,0,0
186, ,,,,,0,0,0,0,0,0,0,0,0
187, ,,,,,0,0,0,0,0,0,0,0,0
188, ,,,,,0,0,0,0,0,0,0,0,0
189, ,,,,,0,0,0,0,0,0,0,0,0
190,Woody Wetlands,,,,,0,0,1,1,1,0,0,0.498,0.698
191, ,,,,,0,0,0,0,0,0,0,0,0
192, ,,,,,0,0,0,0,0,0,0,0,0
193, ,,,,,0,0,0,0,0,0,0,0,0
194, ,,,,,0,0,0,0,0,0,0,0,0
195,Herbaceous Wetlands,,,,,0,0,0,1,0,0,0,0.498,0.698
196, ,,,,,0,0,0,0,0,0,0,0,0
197, ,,,,,0,0,0,0,0,0,0,0,0
198, ,,,,,0,0,0,0,0,0,0,0,0
199, ,,,,,0,0,0,0,0,0,0,0,0
200, ,,,,,0,0,0,0,0,0,0,0,0
201, ,,,,,0,0,0,0,0,0,0,0,0
202, ,,,,,0,0,0,0,0,0,0,0,0
203, ,,,,,0,0,0,0,0,0,0,0,0
204,Pistachios,Pistacia vera,PIAVE,PIAVE,,1,1,0,1,1,0,1,0,1
205,Triticale,Triticosecale rimpaui,TTLRI,TTLRI,,1,1,0,1,0,1,0,0.8392,0.6196
206,Carrots,Daucus carota,DAUCA,DAUCA,,1,1,0,1,0,1,0,1,0.4
207,Asparagus,Asparagus officinalis,ASPOF,ASPOF,,1,1,0,1,0,1,0,1,0.4
208,Garlic,Allium sativum,ALLSA,ALLSA,,1,1,0,1,0,1,0,1,0.4
209,Cantaloupes,Cucumis melo var. cantalupensis,CUMMC,CUMMC,,1,1,0,1,0,1,0,1,0.4
210,Prunes,Prunus domestica,PRNDO,PRNDO,,1,1,0,1,1,0,1,1,0.5569
211,Olives,Olea europaea,OLVEU,OLVEU,,1,1,0,1,1,0,1,0.2,0.2863
212,Oranges,Citrus sinensis,CIDSI,CIDSI,,1,1,0,1,1,0,1,0.898,0.4431
213,Honeydew Melons,Cucumis melo var. inodorus,CUMI,CUMI,,1,1,0,1,0,1,0,1,0.4
214,Broccoli,Brassica oleracea var. italica,BRSOK,BRSOK,,1,1,0,1,0,1,0,1,0.4
215,Avocados,Persea americana,PEBAM,PEBAM,,1,1,0,1,1,0,1,0.4,0.6
216,Peppers,Capsicum annuum,CPSAN,CPSAN,,1,1,0,1,1,0,1,1,0.4
217,Pomegranates,Punica granatum,PUNGR,PUNGR,,1,1,0,1,1,0,1,0.698,0.6078
218,Nectarines,Prunus persica var. nectarina,PRNPN,PRNPN,,1,1,0,1,1,0,1,1,0.5569
219,Greens,Brassica oleracea var. acephala,BRSOA,BRSOA,,1,1,0,1,0,1,0,1,0.4
220,Plums,Prunus domestica,PRNDO,PRNDO,,1,1,0,1,1,0,1,1,0.5569
221,Strawberries,Fragaria × ananassa,FRAAN,FRAAN,,1,1,0,1,0,1,0,1,0.4
222,Squash,Cucurbita pepo,CUUPE,CUUPE,,1,1,0,1,0,1,0,1,0.4
223,Apricots,Prunus armeniaca,PRNAR,PRNAR,,1,1,0,1,1,0,1,1,0.5569
224,Vetch,Vicia sativa,VICSA,VICSA,,1,1,0,1,0,1,0,0,0.6863
225,Dbl Crop WinWht/Corn,,"TRZAX,ZEAMX",ZEAMX,,1,1,0,1,0,1,0,1,0.8275
226,Dbl Crop Oats/Corn,,"AVESA,ZEAMX",ZEAMX,,1,1,0,1,0,1,0,1,0.8275
227,Lettuce,Lactuca sativa,LACSA,LACSA,,1,1,0,1,0,1,0,1,0.4
228,Dbl Crop Triticale/Corn,,"TTLRI,ZEAMX",ZEAMX,,1,1,0,1,0,1,0,1,0.8275
229,Pumpkins,Cucurbita pepo,CUUPE,CUUPE,,1,1,0,1,0,1,0,1,0.4
230,Dbl Crop Lettuce/Durum Wht,,"LACSA,TRZAX",LACSA,,1,1,0,1,0,1,0,0.5373,0.3882
231,Dbl Crop Lettuce/Cantaloupe,,"LACSA,CUMMC",CUMMC,,1,1,0,1,0,1,0,1,0.4
232,Dbl Crop Lettuce/Cotton,,"LACSA,1GOSG",1GOSG,,1,1,0,1,0,1,0,1,0.149
233,Dbl Crop Lettuce/Barley,,"LACSA,HORVX",HORVX,,1,1,0,1,0,1,0,0.8863,0
